feature,value
t,60
nw_s0,770
nw_s1,769
nw_s2,891
nw_s3,769
nw_s4,889
nw_s5,667
nw_s6,667
nw_s7,797
nw_s8,756
nw_s9,886
d60_s0,170
d60_s1,169
d60_s2,291
d60_s3,169
d60_s4,239
d60_s5,129
d60_s6,129
d60_s7,197
d60_s8,156
d60_s9,286
d300_s0,770
d300_s1,769
d300_s2,891
d300_s3,769
d300_s4,889
d300_s5,667
d300_s6,667
d300_s7,797
d300_s8,756
d300_s9,886
bb_s0,1
bb_s1,1
bb_s2,1
bb_s3,1
bb_s4,1
bb_s5,1
bb_s6,1
bb_s7,1
bb_s8,1
bb_s9,1
k_s0,0
k_s1,0
k_s2,0
k_s3,0
k_s4,0
k_s5,0
k_s6,0
k_s7,0
k_s8,0
k_s9,0
d_s0,0
d_s1,0
d_s2,0
d_s3,0
d_s4,0
d_s5,0
d_s6,0
d_s7,0
d_s8,0
d_s9,0
as_s0,0
as_s1,0
as_s2,0
as_s3,0
as_s4,0
as_s5,0
as_s6,0
as_s7,0
as_s8,0
as_s9,0
kp_s0,0
kp_s1,0
kp_s2,0
kp_s3,0
kp_s4,0
kp_s5,0
kp_s6,0
kp_s7,0
kp_s8,0
kp_s9,0
xp_s0,28
xp_s1,0
xp_s2,332
xp_s3,56
xp_s4,177
xp_s5,61
xp_s6,61
xp_s7,205
xp_s8,211
xp_s9,118
lv_s0,1
lv_s1,1
lv_s2,2
lv_s3,1
lv_s4,1
lv_s5,1
lv_s6,1
lv_s7,1
lv_s8,1
lv_s9,1
lh_s0,0
lh_s1,0
lh_s2,3
lh_s3,0
lh_s4,3
lh_s5,0
lh_s6,0
lh_s7,2
lh_s8,2
lh_s9,4
tsd_s0,-1
tsd_s1,-1
tsd_s2,-1
tsd_s3,-1
tsd_s4,-1
tsd_s5,-1
tsd_s6,-1
tsd_s7,-1
tsd_s8,-1
tsd_s9,-1
dist_0_1,99.7904
dist_0_2,44.7056
dist_0_3,2.87927
dist_0_4,111.089
dist_0_5,15.5829
dist_0_6,14.3856
dist_0_7,109.663
dist_0_8,54.1095
dist_0_9,12.9501
dist_1_2,55.2532
dist_1_3,102.355
dist_1_4,11.3167
dist_1_5,104.947
dist_1_6,102.831
dist_1_7,11.3696
dist_1_8,46.2889
dist_1_9,107.752
dist_2_3,47.3559
dist_2_4,66.5106
dist_2_5,50.1808
dist_2_6,48.0239
dist_2_7,64.9616
dist_2_8,9.58077
dist_2_9,52.6201
dist_3_4,113.66
dist_3_5,16.4369
dist_3_6,15.5727
dist_3_7,112.293
dist_3_8,56.7969
dist_3_9,12.887
dist_4_5,116.052
dist_4_6,113.946
dist_4_7,5.46319
dist_4_8,57.4598
dist_4_9,118.94
dist_5_6,2.1769
dist_5_7,113.943
dist_5_8,58.6836
dist_5_9,5.57167
dist_6_7,111.864
dist_6_8,56.5583
dist_6_9,6.50216
dist_7_8,55.6758
dist_7_9,117.036
dist_8_9,61.48
dmg_s0,15
dmg_s1,0
dmg_s2,0
dmg_s3,0
dmg_s4,55
dmg_s5,0
dmg_s6,498
dmg_s7,0
dmg_s8,0
dmg_s9,13
ddmg60_s0,15
ddmg60_s1,0
ddmg60_s2,0
ddmg60_s3,0
ddmg60_s4,4
ddmg60_s5,0
ddmg60_s6,431
ddmg60_s7,0
ddmg60_s8,0
ddmg60_s9,13
ddmg300_s0,15
ddmg300_s1,0
ddmg300_s2,0
ddmg300_s3,0
ddmg300_s4,55
ddmg300_s5,0
ddmg300_s6,498
ddmg300_s7,0
ddmg300_s8,0
ddmg300_s9,13
dk60_s0,0
dk60_s1,0
dk60_s2,0
dk60_s3,0
dk60_s4,0
dk60_s5,0
dk60_s6,0
dk60_s7,0
dk60_s8,0
dk60_s9,0
dk300_s0,0
dk300_s1,0
dk300_s2,0
dk300_s3,0
dk300_s4,0
dk300_s5,0
dk300_s6,0
dk300_s7,0
dk300_s8,0
dk300_s9,0
dd60_s0,0
dd60_s1,0
dd60_s2,0
dd60_s3,0
dd60_s4,0
dd60_s5,0
dd60_s6,0
dd60_s7,0
dd60_s8,0
dd60_s9,0
dd300_s0,0
dd300_s1,0
dd300_s2,0
dd300_s3,0
dd300_s4,0
dd300_s5,0
dd300_s6,0
dd300_s7,0
dd300_s8,0
dd300_s9,0
das60_s0,0
das60_s1,0
das60_s2,0
das60_s3,0
das60_s4,0
das60_s5,0
das60_s6,0
das60_s7,0
das60_s8,0
das60_s9,0
das300_s0,0
das300_s1,0
das300_s2,0
das300_s3,0
das300_s4,0
das300_s5,0
das300_s6,0
das300_s7,0
das300_s8,0
das300_s9,0
