hero,total_appearances,late_n,late_wr,ultra_n,ultra_wr,overall_wr
Tusk,1147,322,47.2,122,54.1,50.2
Hoodwink,1131,343,51.6,199,53.3,52.3
Jakiro,1056,322,48.8,164,54.9,48.6
Puck,1048,319,52.4,163,52.8,50.0
Tiny,1006,281,46.6,173,45.1,47.3
Storm Spirit,920,272,50.4,142,59.9,48.4
Pangolier,900,269,44.6,163,50.3,47.1
Ember Spirit,893,251,45.8,126,47.6,51.3
Warlock,851,247,47.4,109,51.4,47.4
Beastmaster,831,227,45.8,134,38.1,47.7
Mars,803,248,48.4,107,52.3,49.3
Batrider,791,232,53.9,114,47.4,53.9
Shadow Demon,774,223,54.3,109,50.5,53.0
Queen of Pain,762,219,53.0,126,46.0,46.3
Phoenix,755,241,49.8,127,48.0,48.6
Centaur Warrunner,741,203,51.7,96,56.2,50.9
Shadow Shaman,734,220,49.5,106,51.9,51.5
Disruptor,732,193,50.3,117,42.7,50.0
Slardar,730,219,45.7,100,54.0,51.1
Snapfire,652,184,48.4,109,48.6,49.2
Dragon Knight,646,175,46.9,81,35.8,49.5
Gyrocopter,645,171,49.7,86,51.2,46.7
Bristleback,637,179,51.4,93,46.2,48.7
Void Spirit,623,188,47.3,88,46.6,45.9
Shadow Fiend,622,169,49.7,104,47.1,52.7
Tidehunter,596,174,52.3,95,32.6,49.2
Ursa,587,180,53.9,96,57.3,49.9
Rubick,587,176,44.3,116,47.4,47.4
Muerta,568,183,51.4,101,52.5,49.8
Underlord,548,162,43.2,86,54.7,48.5
Monkey King,542,151,55.6,92,56.5,56.8
Templar Assassin,538,149,53.7,85,48.2,49.8
Axe,536,142,52.8,90,50.0,48.1
Windranger,524,156,53.2,92,48.9,53.1
Timbersaw,517,163,44.2,97,55.7,46.6
Ringmaster,496,127,52.0,83,54.2,50.8
Clockwerk,491,139,46.0,81,45.7,48.9
Dark Willow,490,138,54.3,70,47.1,45.1
Abaddon,486,140,49.3,75,53.3,52.1
Chen,476,133,45.1,62,51.6,54.2
Terrorblade,472,125,44.0,87,46.0,46.6
Enchantress,459,132,53.0,73,54.8,50.8
Doom,451,133,53.4,83,59.0,49.7
Bane,450,125,64.0,85,50.6,57.1
Nature's Prophet,446,133,48.1,53,60.4,53.1
Dawnbreaker,428,121,43.0,67,53.7,45.3
Leshrac,415,120,55.8,53,56.6,50.6
Pugna,410,112,46.4,69,50.7,49.5
Marci,408,111,46.8,63,33.3,49.8
Kez,399,115,48.7,68,57.4,55.6
Sand King,395,125,47.2,63,57.1,51.1
Primal Beast,366,110,54.5,60,55.0,50.0
Naga Siren,347,93,58.1,56,60.7,56.2
Silencer,343,107,53.3,41,63.4,45.5
Sven,335,86,53.5,59,50.8,48.4
Largo,327,112,63.4,52,65.4,58.1
Undying,325,83,50.6,49,36.7,48.0
Viper,321,98,52.0,45,42.2,50.8
Treant Protector,320,85,61.2,55,58.2,59.1
Invoker,316,85,50.6,65,56.9,54.4
Brewmaster,313,100,55.0,43,41.9,46.0
