rank,hero,valve_acc,win_rate,valve_mean_p,delta_pp,n_games
1,puck,0.758200,0.481660,0.486853,-0.5193,2072
2,ringmaster,0.757242,0.459933,0.471808,-1.1875,1485
3,enchantress,0.756231,0.518950,0.504847,1.4103,1029
4,bounty_hunter,0.756227,0.507406,0.513951,-0.6545,2093
5,monkey_king,0.755499,0.468215,0.464654,0.3561,4263
6,night_stalker,0.754047,0.525924,0.518368,0.7556,3221
7,riki,0.754029,0.548259,0.531453,1.6806,2528
8,earth_spirit,0.752863,0.515083,0.499875,1.5208,1326
9,lone_druid,0.752207,0.531299,0.535562,-0.4263,4457
10,weaver,0.750368,0.471012,0.473014,-0.2002,3191
11,sand_king,0.749868,0.490320,0.503969,-1.3649,2531
12,ember_spirit,0.748973,0.495925,0.489840,0.6085,3436
13,dark_seer,0.748343,0.499176,0.498539,0.0637,607
14,furion,0.748259,0.421679,0.433025,-1.1346,3109
15,faceless_void,0.748229,0.504650,0.519634,-1.4984,6882
16,brewmaster,0.747973,0.531481,0.501463,3.0018,540
17,tiny,0.747917,0.467780,0.459207,0.8573,4190
18,leshrac,0.747882,0.496614,0.496039,0.0575,886
19,obsidian_destroyer,0.747410,0.503860,0.500472,0.3388,1943
20,spectre,0.747125,0.542990,0.550308,-0.7318,4501
21,beastmaster,0.746847,0.477571,0.471882,0.5689,3277
22,skeleton_king,0.746493,0.549020,0.537609,1.1411,5202
23,oracle,0.746462,0.498978,0.493319,0.5659,1467
24,disruptor,0.746242,0.495479,0.491293,0.4186,3318
25,queenofpain,0.746157,0.478547,0.484522,-0.5975,8647
26,zuus,0.745863,0.514635,0.520949,-0.6314,7516
27,arc_warden,0.745808,0.492248,0.499759,-0.7511,1032
28,templar_assassin,0.745719,0.443525,0.443336,0.0189,1691
29,mirana,0.745717,0.506611,0.513820,-0.7209,2647
30,tinker,0.745583,0.466116,0.460078,0.6038,1815
31,visage,0.745422,0.551676,0.502643,4.9033,716
32,axe,0.745411,0.522587,0.519905,0.2682,7792
33,dazzle,0.745238,0.488761,0.480960,0.7801,1735
34,rattletrap,0.744863,0.510518,0.507249,0.3269,1236
35,crystal_maiden,0.744845,0.513585,0.512061,0.1524,5263
36,bloodseeker,0.744474,0.513839,0.511162,0.2677,1662
37,morphling,0.744461,0.462676,0.466496,-0.3820,1353
38,winter_wyvern,0.744286,0.489270,0.491895,-0.2625,2097
39,phantom_assassin,0.744178,0.490902,0.508589,-1.7687,5166
40,mars,0.744141,0.458012,0.453379,0.4633,2596
41,primal_beast,0.743990,0.513556,0.517947,-0.4391,1918
42,omniknight,0.743850,0.488568,0.487788,0.0780,831
43,grimstroke,0.743688,0.504003,0.519218,-1.5215,2373
44,venomancer,0.743600,0.465514,0.476682,-1.1168,5263
45,silencer,0.743392,0.517106,0.519424,-0.2318,6109
46,tusk,0.743350,0.459522,0.478055,-1.8533,2174
47,sniper,0.743316,0.514014,0.497818,1.6196,8313
48,treant,0.743236,0.508740,0.492385,1.6355,1087
49,huskar,0.743134,0.506547,0.490940,1.5607,2673
50,wisp,0.743107,0.501045,0.501497,-0.0452,1435
51,storm_spirit,0.743046,0.461962,0.476941,-1.4979,3089
52,keeper_of_the_light,0.742979,0.506444,0.495701,1.0743,2095
53,jakiro,0.742799,0.449033,0.468662,-1.9629,3463
54,dark_willow,0.742495,0.446667,0.473661,-2.6994,1950
55,razor,0.742113,0.496552,0.491724,0.4828,2465
56,hoodwink,0.742089,0.511064,0.492719,1.8345,5152
57,viper,0.741828,0.482153,0.477246,0.4907,3474
58,void_spirit,0.741663,0.485110,0.480388,0.4722,2317
59,slark,0.741643,0.501987,0.504369,-0.2382,6795
60,death_prophet,0.741584,0.492585,0.466310,2.6275,1888
61,tidehunter,0.741557,0.516876,0.521283,-0.4407,5659
62,pangolier,0.741436,0.508104,0.493106,1.4998,3887
63,ogre_magi,0.741230,0.520374,0.516798,0.3576,7264
64,batrider,0.741211,0.519664,0.507164,1.2500,1907
65,pudge,0.740993,0.499510,0.499369,0.0141,12252
66,kez,0.740972,0.465741,0.471017,-0.5276,2233
67,spirit_breaker,0.740833,0.504743,0.502620,0.2123,7168
68,abaddon,0.740652,0.488764,0.499612,-1.0848,1246
69,witch_doctor,0.740524,0.506696,0.509066,-0.2370,7243
70,shadow_shaman,0.740466,0.518983,0.508673,1.0310,6453
71,troll_warlord,0.739948,0.475236,0.500675,-2.5439,848
72,legion_commander,0.739894,0.524863,0.511111,1.3752,6375
73,juggernaut,0.739850,0.518682,0.517293,0.1389,6584
74,shredder,0.739552,0.447628,0.456019,-0.8391,1117
75,snapfire,0.739536,0.467280,0.473256,-0.5976,2827
76,shadow_demon,0.739506,0.444144,0.453879,-0.9735,1110
77,bristleback,0.739456,0.499896,0.506566,-0.6670,4821
78,nevermore,0.739431,0.469136,0.466262,0.2874,4698
79,dragon_knight,0.739383,0.470695,0.482533,-1.1838,1655
80,lich,0.739272,0.510911,0.516418,-0.5507,4674
81,chen,0.739232,0.459716,0.455164,0.4552,211
82,phoenix,0.738917,0.529986,0.519758,1.0228,4302
83,slardar,0.738803,0.505694,0.509315,-0.3621,4127
84,bane,0.738696,0.490018,0.500174,-1.0156,1102
85,abyssal_underlord,0.738521,0.510698,0.503775,0.6923,3225
86,lina,0.738459,0.463156,0.474780,-1.1624,5184
87,largo,0.738418,0.453216,0.458292,-0.5076,684
88,alchemist,0.738301,0.505743,0.519392,-1.3649,6181
89,phantom_lancer,0.737920,0.529980,0.537693,-0.7713,4453
90,invoker,0.737555,0.523619,0.521287,0.2332,8743
91,chaos_knight,0.737413,0.500000,0.504877,-0.4877,1352
92,centaur,0.737079,0.475548,0.496930,-2.1382,1779
93,magnataur,0.736987,0.495981,0.481450,1.4531,4105
94,life_stealer,0.736443,0.519622,0.520733,-0.1111,4969
95,medusa,0.736420,0.490525,0.520153,-2.9628,1847
96,ursa,0.736270,0.451636,0.463286,-1.1650,2812
97,windrunner,0.736263,0.481980,0.475994,0.5986,5577
98,antimage,0.735748,0.485153,0.493529,-0.8376,4883
99,techies,0.735340,0.534670,0.519281,1.5389,5235
100,enigma,0.735101,0.499525,0.508870,-0.9345,1053
101,skywrath_mage,0.735088,0.503482,0.493020,1.0462,5744
102,nyx_assassin,0.734763,0.517612,0.515029,0.2583,2981
103,drow_ranger,0.733840,0.500573,0.493943,0.6630,5238
104,warlock,0.733760,0.492511,0.487858,0.4653,3405
105,rubick,0.733486,0.506705,0.496834,0.9871,9769
106,clinkz,0.733413,0.496335,0.499259,-0.2924,2319
107,dawnbreaker,0.732824,0.516584,0.517102,-0.0518,4824
108,earthshaker,0.732806,0.494223,0.497199,-0.2976,5453
109,necrolyte,0.732749,0.510520,0.511535,-0.1015,6844
110,vengefulspirit,0.732701,0.530625,0.529042,0.1583,3151
111,kunkka,0.732678,0.489510,0.491006,-0.1496,2002
112,lion,0.732398,0.500282,0.502724,-0.2442,12429
113,undying,0.732285,0.509680,0.510844,-0.1164,4442
114,marci,0.732211,0.498350,0.491783,0.6567,1515
115,luna,0.732091,0.492511,0.488235,0.4276,2804
116,pugna,0.730293,0.469597,0.472272,-0.2675,1661
117,sven,0.730154,0.497214,0.483409,1.3805,1615
118,elder_titan,0.728335,0.490000,0.483547,0.6453,300
119,doom_bringer,0.726842,0.458246,0.471673,-1.3427,2383
120,muerta,0.726594,0.475527,0.492071,-1.6544,2656
121,gyrocopter,0.726316,0.455954,0.437375,1.8579,1033
122,meepo,0.723829,0.524355,0.508371,1.5984,698
123,ancient_apparition,0.722795,0.463235,0.495861,-3.2626,2448
124,lycan,0.721771,0.455607,0.449065,0.6542,428
125,naga_siren,0.719677,0.525606,0.538642,-1.3036,742
126,terrorblade,0.715680,0.492175,0.475663,1.6512,1278
127,broodmother,0.714820,0.496762,0.486896,0.9866,1081
