rank,hero,valve_acc,model_acc,edge_pp
1,puck,0.758200,0.766807,0.8607
2,ringmaster,0.757242,0.781205,2.3963
3,enchantress,0.756231,0.766781,1.0550
4,bounty_hunter,0.756227,0.792023,3.5796
5,monkey_king,0.755499,0.769723,1.4224
6,night_stalker,0.754047,0.764938,1.0891
7,riki,0.754029,0.752186,-0.1843
8,earth_spirit,0.752863,0.760020,0.7157
9,lone_druid,0.752207,0.783051,3.0844
10,weaver,0.750368,0.746081,-0.4287
11,sand_king,0.749868,0.759362,0.9494
12,ember_spirit,0.748973,0.770955,2.1982
13,dark_seer,0.748343,0.745691,-0.2652
14,furion,0.748259,0.757179,0.8920
15,faceless_void,0.748229,0.755656,0.7427
16,brewmaster,0.747973,0.799815,5.1842
17,tiny,0.747917,0.757078,0.9161
18,leshrac,0.747882,0.736173,-1.1709
19,obsidian_destroyer,0.747410,0.773872,2.6462
20,spectre,0.747125,0.772631,2.5506
21,beastmaster,0.746847,0.760052,1.3205
22,skeleton_king,0.746493,0.771284,2.4791
23,oracle,0.746462,0.781884,3.5422
24,disruptor,0.746242,0.752541,0.6299
25,queenofpain,0.746157,0.770609,2.4452
26,zuus,0.745863,0.768374,2.2511
27,arc_warden,0.745808,0.752150,0.6342
28,templar_assassin,0.745719,0.749846,0.4127
29,mirana,0.745717,0.768732,2.3015
30,tinker,0.745583,0.747733,0.2150
31,visage,0.745422,0.784520,3.9098
32,axe,0.745411,0.762718,1.7307
33,dazzle,0.745238,0.765341,2.0103
34,rattletrap,0.744863,0.741508,-0.3355
35,crystal_maiden,0.744845,0.769322,2.4477
36,bloodseeker,0.744474,0.771603,2.7129
37,morphling,0.744461,0.743579,-0.0882
38,winter_wyvern,0.744286,0.786017,4.1731
39,phantom_assassin,0.744178,0.772755,2.8577
40,mars,0.744141,0.753271,0.9130
41,primal_beast,0.743990,0.767674,2.3684
42,omniknight,0.743850,0.766097,2.2247
43,grimstroke,0.743688,0.745167,0.1479
44,venomancer,0.743600,0.768463,2.4863
45,silencer,0.743392,0.757231,1.3839
46,tusk,0.743350,0.773325,2.9975
47,sniper,0.743316,0.761321,1.8005
48,treant,0.743236,0.733795,-0.9441
49,huskar,0.743134,0.749457,0.6323
50,wisp,0.743107,0.747928,0.4821
51,storm_spirit,0.743046,0.766164,2.3118
52,keeper_of_the_light,0.742979,0.767735,2.4756
53,jakiro,0.742799,0.750863,0.8064
54,dark_willow,0.742495,0.759272,1.6777
55,razor,0.742113,0.779075,3.6962
56,hoodwink,0.742089,0.766657,2.4568
57,viper,0.741828,0.769518,2.7690
58,void_spirit,0.741663,0.771780,3.0117
59,slark,0.741643,0.769807,2.8164
60,death_prophet,0.741584,0.740594,-0.0990
