minute,brier,logloss
0,0.2655,0.7274
1,0.2652,0.7275
2,0.2632,0.7234
3,0.2605,0.7181
4,0.2530,0.7023
5,0.2510,0.6982
6,0.2461,0.6876
7,0.2442,0.6838
8,0.2383,0.6714
9,0.2314,0.6565
10,0.2262,0.6436
11,0.2227,0.6353
12,0.2236,0.6366
13,0.2184,0.6235
14,0.2145,0.6126
15,0.2096,0.6004
16,0.2061,0.5921
17,0.2008,0.5797
18,0.1963,0.5694
19,0.1894,0.5542
20,0.1833,0.5392
21,0.1757,0.5216
22,0.1731,0.5155
23,0.1631,0.4915
24,0.1515,0.4630
25,0.1420,0.4365
26,0.1372,0.4243
27,0.1327,0.4111
28,0.1286,0.3989
29,0.1215,0.3795
30,0.1232,0.3785
31,0.1172,0.3634
32,0.1178,0.3662
33,0.1198,0.3760
34,0.1153,0.3631
35,0.1130,0.3543
36,0.1162,0.3559
37,0.1181,0.3657
38,0.1234,0.3795
39,0.1306,0.3968
40,0.1346,0.4044
41,0.1365,0.4009
42,0.1378,0.4106
43,0.1417,0.4210
44,0.1292,0.3912
45,0.1359,0.4184
46,0.1393,0.4243
47,0.1497,0.4487
48,0.1362,0.4129
49,0.1470,0.4393
50,0.1340,0.3993
51,0.1260,0.3763
52,0.1183,0.3625
53,0.1239,0.3723
54,0.1374,0.4080
55,0.1356,0.4211
