minute,accuracy_pct,auc_pct
0,49.4900,49.3400
1,50.7100,51.0000
2,52.9300,52.3200
3,53.1300,54.1700
4,56.3600,57.3800
5,57.3700,58.4400
6,56.5700,60.6400
7,60.0000,61.4300
8,60.6100,63.8700
9,62.9600,66.3500
10,63.0800,68.0300
11,63.2900,69.1400
12,60.6500,68.8200
13,64.0200,70.3300
14,62.4000,71.2500
15,63.4100,72.7400
16,63.8200,73.6400
17,66.2600,75.1900
18,67.1400,76.3200
19,70.5500,78.3000
20,71.1100,79.7000
21,71.1300,81.4200
22,74.1600,82.1900
23,76.6900,84.3200
24,77.7500,86.6100
25,80.7900,88.2800
26,81.7600,89.1500
27,81.4900,89.7600
28,80.9500,90.4200
29,80.7400,91.6600
30,80.9100,91.2400
31,82.4600,92.1500
32,82.7700,91.9200
33,83.9600,91.3800
34,83.7500,92.0900
35,84.5500,92.5300
36,81.1900,92.1100
37,82.9500,91.6900
38,81.8200,91.0200
39,80.2600,89.9900
40,80.5600,89.3500
41,78.2000,89.1400
42,79.3400,88.4400
43,76.7900,88.8700
44,80.0000,90.6700
45,79.5900,89.2900
46,75.8600,89.2200
47,74.6700,88.7600
48,83.3300,89.7100
49,78.4600,87.7800
50,77.5900,89.8900
51,80.7700,91.7200
52,86.6700,93.2800
53,80.0000,91.7500
54,83.3300,89.2000
55,83.8700,87.5000
