pct,pro_accuracy_pct,pro_auc_pct,pub_accuracy_pct,pub_auc_pct
1,47.0409,46.4575,51.4138,52.4981
3,47.9292,47.3169,56.2359,57.5704
5,49.9629,47.4389,56.5775,58.8615
7,50.7203,49.2779,57.7790,60.2045
9,52.5701,51.9199,58.8706,61.5270
11,53.6019,52.7305,59.7265,62.8363
13,54.1424,53.7794,60.5804,63.7226
15,55.2065,55.1242,61.7538,65.1893
17,56.4271,56.6784,62.2918,66.0942
19,57.1336,57.8417,62.9738,66.9611
21,57.1211,58.0220,63.7786,68.1117
23,56.9224,59.9438,64.0602,68.5080
25,57.3141,60.9102,65.2084,69.9935
27,57.8167,62.0966,65.4158,70.3781
29,59.3417,63.5830,66.1927,71.2805
31,59.8242,64.1155,67.1655,72.5193
33,61.0952,65.2480,67.3387,72.9489
35,61.2322,65.8131,68.1471,74.0174
37,62.9024,67.0060,68.7663,74.8239
39,61.3978,67.2472,69.2960,75.2585
41,62.1203,68.9998,70.4042,76.8272
43,64.1197,70.5341,70.3544,77.0480
45,64.2249,71.4750,70.9720,77.7720
47,63.9401,71.7316,71.8303,78.6010
49,63.5995,71.6240,72.1681,79.1307
51,63.3257,71.9240,73.2448,80.2189
53,65.1594,72.7878,73.6596,80.9560
55,67.3460,74.7117,74.5922,81.9386
57,68.3955,75.5747,75.1781,82.7113
59,68.9253,76.2898,75.7354,83.4890
61,70.2649,77.2012,76.5101,84.3793
63,70.9077,77.9846,77.3785,85.2391
65,71.9145,79.0830,78.0558,86.1134
67,72.1316,79.3179,78.8097,86.9174
69,72.8726,80.3286,79.6302,87.6482
71,72.5560,80.4498,80.5889,88.7213
73,73.2305,80.8214,81.1855,89.5465
75,75.1238,82.2362,82.3575,90.6225
77,77.3161,84.6639,83.4541,91.4437
79,78.5708,86.0999,83.8525,92.0472
81,79.4443,88.3021,85.0571,93.1301
83,82.4687,90.5177,86.0415,94.0079
85,85.3092,91.9251,87.0948,94.7390
87,86.8009,93.5287,88.4016,95.7096
89,88.1805,94.8556,89.2729,96.3200
91,88.8056,95.9843,90.4866,97.0538
93,90.5812,97.1547,91.4936,97.6201
95,94.1305,98.7155,92.7938,98.2539
97,97.0823,99.6735,95.1750,99.1459
99,99.6155,99.9891,98.8272,99.9132
